date,symbol,marketcapname,sector
05-04-2023,LT,Largecap,Realty
06-04-2023,HDFC,Largecap,Finance
06-04-2023,HDFCBANK,Largecap,Bank
06-04-2023,LT,Largecap,Realty
10-04-2023,HDFCBANK,Largecap,Bank
10-04-2023,JBCHEPHARM,Largecap,Pharmaceuticals
11-04-2023,HDFCBANK,Largecap,Bank
11-04-2023,SUNDRMFAST,Largecap,Auto
11-04-2023,POLYCAB,Largecap,Industrials
12-04-2023,SUNDRMFAST,Largecap,Auto
17-04-2023,SUNDRMFAST,Largecap,Auto
17-04-2023,AKZOINDIA,Midcap,Industrials
17-04-2023,MTARTECH,Midcap,Industrials
18-04-2023,AKZOINDIA,Midcap,Industrials
20-04-2023,AKZOINDIA,Midcap,Industrials
21-04-2023,AKZOINDIA,Midcap,Industrials
24-04-2023,AKZOINDIA,Midcap,Industrials
24-04-2023,JASH,Smallcap,FMCG
26-04-2023,GSPL,Midcap,Industrials
28-04-2023,AKZOINDIA,Midcap,Industrials
11-05-2023,NTPC,Largecap,Miscellaneous
16-05-2023,OIL,Largecap,Oils
22-05-2023,AIAENG,Largecap,Industrials
05-06-2023,KPRMILL,Largecap,FMCG
08-06-2023,JSWSTEEL,Largecap,Metals
15-06-2023,ABBOTINDIA,Largecap,Pharmaceuticals
15-06-2023,GPPL,Midcap,Industrials
16-06-2023,ABBOTINDIA,Largecap,Pharmaceuticals
21-06-2023,BOSCHLTD,Largecap,Auto
21-06-2023,VGUARD,Midcap,FMCG
27-06-2023,HDFC,Largecap,Finance
28-06-2023,HDFC,Largecap,Finance
28-06-2023,HDFCBANK,Largecap,Bank
28-06-2023,HINDUNILVR,Largecap,FMCG
30-06-2023,HDFCBANK,Largecap,Bank
30-06-2023,CSBBANK,Midcap,Bank
30-06-2023,ALKEM,Largecap,Pharmaceuticals
03-07-2023,GRASIM,Largecap,Textiles
03-07-2023,ANANDRATHI,Midcap,Finance
05-07-2023,BOSCHLTD,Largecap,Auto
05-07-2023,AKZOINDIA,Midcap,Industrials
06-07-2023,BOSCHLTD,Largecap,Auto
06-07-2023,GAIL,Largecap,Industrials
07-07-2023,GAIL,Largecap,Industrials
11-07-2023,GAIL,Largecap,Industrials
14-07-2023,GAIL,Largecap,Industrials
14-07-2023,FSL,Midcap,I.T
17-07-2023,GRASIM,Largecap,Textiles
17-07-2023,SWSOLAR,Midcap,Industrials
18-07-2023,PRICOLLTD,Smallcap,Auto
18-07-2023,HAVELLS,Largecap,FMCG
19-07-2023,UNIVCABLES,Smallcap,Industrials
19-07-2023,HAVELLS,Largecap,FMCG
19-07-2023,PERSISTENT,Largecap,I.T
20-07-2023,GAIL,Largecap,Industrials
25-07-2023,PGHL,Midcap,Pharmaceuticals
25-07-2023,OIL,Largecap,Oils
27-07-2023,ORIENTHOT,Smallcap,Services
27-07-2023,MARICO,Largecap,FMCG
31-07-2023,CRISIL,Largecap,Miscellaneous
31-07-2023,SUDARSCHEM,Smallcap,Industrials
31-07-2023,PETRONET,Largecap,Industrials
01-08-2023,PETRONET,Largecap,Industrials
07-08-2023,SBILIFE,Largecap,Services
08-08-2023,NCLIND,Smallcap,Industrials
09-08-2023,NCLIND,Smallcap,Industrials
10-08-2023,CRISIL,Largecap,Miscellaneous
10-08-2023,NCLIND,Smallcap,Industrials
10-08-2023,SUVENPHAR,Midcap,Pharmaceuticals
10-08-2023,KPRMILL,Largecap,FMCG
11-08-2023,GRPLTD,Smallcap,FMCG
11-08-2023,SUVENPHAR,Midcap,Pharmaceuticals
22-08-2023,DHANUKA,Smallcap,Industrials
23-08-2023,AXISBANK,Largecap,Bank
28-08-2023,SHARDAMOTR,Smallcap,Auto
29-08-2023,TATASTEEL,Largecap,Metals
30-08-2023,MARUTI,Largecap,Auto
31-08-2023,GLAXO,Largecap,Pharmaceuticals
31-08-2023,WIPRO,Largecap,I.T
31-08-2023,SONATSOFTW,Midcap,I.T
31-08-2023,HCLTECH,Largecap,I.T
01-09-2023,JKCEMENT,Largecap,Industrials
04-09-2023,IMPAL,Smallcap,Auto
04-09-2023,BIRLACORPN,Midcap,Industrials
04-09-2023,GANECOS,Smallcap,Textiles
04-09-2023,ABCAPITAL,Largecap,Finance
04-09-2023,ICICIGI,Largecap,Services
04-09-2023,COALINDIA,Largecap,Industrials
05-09-2023,ABB,Largecap,FMCG
05-09-2023,DHANUKA,Smallcap,Industrials
06-09-2023,ABB,Largecap,FMCG
06-09-2023,BALRAMCHIN,Midcap,FMCG
06-09-2023,DHAMPURSUG,Smallcap,FMCG
06-09-2023,DHANUKA,Smallcap,Industrials
07-09-2023,BLUESTARCO,Largecap,FMCG
07-09-2023,TATACONSUM,Largecap,FMCG
08-09-2023,BLUESTARCO,Largecap,FMCG
11-09-2023,BANKBARODA,Largecap,Bank
11-09-2023,TRITURBINE,Midcap,FMCG
11-09-2023,NH,Largecap,Pharmaceuticals
12-09-2023,TATACONSUM,Largecap,FMCG
12-09-2023,ICICIBANK,Largecap,Bank
13-09-2023,ICICIBANK,Largecap,Bank
14-09-2023,BALKRISIND,Largecap,Auto
15-09-2023,ICICIGI,Largecap,Services
15-09-2023,GLS,Midcap,Pharmaceuticals
18-09-2023,HEROMOTOCO,Largecap,Auto
18-09-2023,HDFCLIFE,Largecap,Services
20-09-2023,ICICIBANK,Largecap,Bank
26-09-2023,RAMCOCEM,Largecap,Industrials
26-09-2023,NESTLEIND,Largecap,FMCG
27-09-2023,BOSCHLTD,Largecap,Auto
27-09-2023,FOODSIN,Smallcap,FMCG
27-09-2023,SUNPHARMA,Largecap,Pharmaceuticals
27-09-2023,DIVISLAB,Largecap,Pharmaceuticals
28-09-2023,BOSCHLTD,Largecap,Auto
28-09-2023,SUNPHARMA,Largecap,Pharmaceuticals
29-09-2023,SPANDANA,Midcap,Finance
03-10-2023,SKFINDIA,Largecap,Industrials
03-10-2023,MGL,Midcap,Industrials
04-10-2023,NESTLEIND,Largecap,FMCG
05-10-2023,SANOFI,Midcap,Pharmaceuticals
05-10-2023,NESTLEIND,Largecap,FMCG
05-10-2023,MAYURUNIQ,Smallcap,FMCG
06-10-2023,ORIENTHOT,Smallcap,Services
06-10-2023,SANOFI,Midcap,Pharmaceuticals
06-10-2023,GODREJAGRO,Midcap,Miscellaneous
09-10-2023,CRISIL,Largecap,Miscellaneous
10-10-2023,BOSCHLTD,Largecap,Auto
10-10-2023,HITECHCORP,Smallcap,Services
11-10-2023,HEROMOTOCO,Largecap,Auto
11-10-2023,BOSCHLTD,Largecap,Auto
11-10-2023,NESTLEIND,Largecap,FMCG
12-10-2023,CENTENKA,Smallcap,Textiles
12-10-2023,FORTIS,Largecap,Pharmaceuticals
12-10-2023,GLS,Midcap,Pharmaceuticals
13-10-2023,FORTIS,Largecap,Pharmaceuticals
13-10-2023,GLS,Midcap,Pharmaceuticals
17-10-2023,ICICIGI,Largecap,Services
17-10-2023,AHLUCONT,Midcap,Realty
18-10-2023,TATAELXSI,Largecap,I.T
18-10-2023,SUNPHARMA,Largecap,Pharmaceuticals
18-10-2023,LAOPALA,Smallcap,Industrials
18-10-2023,ALLSEC,Smallcap,I.T
19-10-2023,ICICIGI,Largecap,Services
27-10-2023,PUNJABCHEM,Smallcap,Industrials
31-10-2023,ICICIGI,Largecap,Services
31-10-2023,CRAFTSMAN,Midcap,Auto
01-11-2023,SUNDRMFAST,Largecap,Auto
01-11-2023,MANGCHEFER,Smallcap,Industrials
01-11-2023,AIAENG,Largecap,Industrials
01-11-2023,OBEROIRLTY,Largecap,Realty
02-11-2023,MANGCHEFER,Smallcap,Industrials
02-11-2023,GODREJPROP,Largecap,Realty
03-11-2023,TITAN,Largecap,Miscellaneous
03-11-2023,ETHOSLTD,Smallcap,FMCG
03-11-2023,ENDURANCE,Largecap,Auto
06-11-2023,EXIDEIND,Largecap,Auto
06-11-2023,TITAN,Largecap,Miscellaneous
06-11-2023,ENDURANCE,Largecap,Auto
07-11-2023,EXIDEIND,Largecap,Auto
07-11-2023,SBILIFE,Largecap,Services
07-11-2023,ICICIGI,Largecap,Services
07-11-2023,CSLFINANCE,Smallcap,Finance
07-11-2023,HAL,Largecap,FMCG
08-11-2023,CESC,Midcap,Miscellaneous
08-11-2023,MFSL,Largecap,Finance
08-11-2023,HINDALCO,Largecap,Metals
08-11-2023,ABBOTINDIA,Largecap,Pharmaceuticals
08-11-2023,MANYAVAR,Largecap,FMCG
08-11-2023,HAL,Largecap,FMCG
08-11-2023,ADVENZYMES,Smallcap,Industrials
09-11-2023,EXIDEIND,Largecap,Auto
09-11-2023,TITAN,Largecap,Miscellaneous
09-11-2023,UNOMINDA,Largecap,Auto
10-11-2023,TITAN,Largecap,Miscellaneous
10-11-2023,UNOMINDA,Largecap,Auto
12-11-2023,LUMAXIND,Smallcap,Auto
